Species;Date;Fish_ID;Mes_nr;Treatment;Weight;SMR;MMR;AS;Comment;Chambersize;Temperature;Sex
Zebrafish;09-03-2023;L3;3;L;0.0062;0.002391936;NA;NA;;0.0021822;27.82401443;NA
Zebrafish;09-03-2023;L4;3;L;0.0063;0.001905881;NA;NA;;0.0021822;27.89600855;NA
Zebrafish;09-03-2023;L5;3;L;0.0091;0.003572861;NA;NA;;0.0021822;27.89060294;NA
Zebrafish;09-03-2023;L7;3;L;0.006;0.003745129;NA;NA;;0.0021822;27.8872657;NA
Zebrafish;09-03-2023;L8;3;L;0.0043;0.00170628;NA;NA;;0.0021822;27.88809436;NA
Zebrafish;09-03-2023;L9;3;L;0.0108;NA;NA;NA;;0.0021822;27.78784165;NA
Zebrafish;09-03-2023;L10;3;L;0.0129;0.00416478;NA;NA;;0.0021822;27.79326807;NA
Zebrafish;09-03-2023;L11;3;L;0.0074;0.000415246;NA;NA;;0.0021822;27.78985275;NA
Zebrafish;09-03-2023;L12;3;L;0.0037;NA;NA;NA;;0.0021822;27.79560483;NA
Zebrafish;09-03-2023;L13;3;L;0.0017;NA;NA;NA;;0.0021822;27.92699682;NA
Zebrafish;09-03-2023;L14;3;L;0.0068;0.001956362;NA;NA;;0.0021822;27.91887838;NA
Zebrafish;09-03-2023;L15;3;L;0.0105;0.005954114;NA;NA;;0.0021822;27.92160205;NA
Zebrafish;12-03-2023;M1;3;M;0.0023;0.001844989;NA;NA;;0.0021822;27.82727833;NA
Zebrafish;12-03-2023;M2;3;M;0.0097;0.004545765;NA;NA;;0.0021822;27.84773056;NA
Zebrafish;12-03-2023;M3;3;M;0.0077;0.002263834;NA;NA;;0.0021822;27.84580323;NA
Zebrafish;12-03-2023;M4;3;M;0.0043;0.002645853;NA;NA;;0.0021822;27.89907629;NA
Zebrafish;12-03-2023;M5;3;M;0.0082;0.002246668;NA;NA;;0.0021822;27.90030346;NA
Zebrafish;12-03-2023;M6;3;M;0.0024;0.000926607;NA;NA;;0.0021822;27.90763629;NA
Zebrafish;12-03-2023;M7;3;M;0.0096;0.004130735;NA;NA;;0.0021822;27.89603942;NA
Zebrafish;12-03-2023;M8;3;M;0.0022;0.000866302;NA;NA;;0.0021822;27.79483163;NA
Zebrafish;12-03-2023;M10;3;M;0.0083;0.00517898;NA;NA;;0.0021822;27.80664515;NA
Zebrafish;12-03-2023;M11;3;M;0.0052;0.001857376;NA;NA;;0.0021822;27.79922137;NA
Zebrafish;12-03-2023;M12;3;M;0.0047;0.00128388;NA;NA;;0.0021822;27.80292797;NA
Zebrafish;12-03-2023;M13;3;M;0.0098;0.004861104;NA;NA;;0.0021822;27.92610249;NA
Zebrafish;12-03-2023;M14;3;M;0.0029;0.001155261;NA;NA;;0.0021822;27.92663784;NA
Zebrafish;12-03-2023;M15;3;M;0.0084;0.004406081;NA;NA;;0.0021822;27.92456954;NA
Zebrafish;13-03-2023;H1;3;H;0.0022;0.00053118;NA;NA;;0.0021822;27.80081023;NA
Zebrafish;13-03-2023;H2;3;H;0.0091;0.004498472;NA;NA;;0.0021822;27.78263467;NA
Zebrafish;13-03-2023;H3;3;H;0.007;0.002320855;NA;NA;;0.0021822;27.78924309;NA
Zebrafish;13-03-2023;H4;3;H;0.0136;0.003065396;NA;NA;;0.0021822;27.84576609;NA
Zebrafish;13-03-2023;H5;3;H;0.0036;0.001714864;NA;NA;;0.0021822;27.841702;NA
Zebrafish;13-03-2023;H6;3;H;0.0051;0.001290844;NA;NA;;0.0021822;27.84259173;NA
Zebrafish;13-03-2023;H7;3;H;0.0082;0.003844871;NA;NA;;0.0021822;27.8456962;NA
Zebrafish;13-03-2023;H8;3;H;0.0031;0.001777618;NA;NA;;0.0021822;27.75421015;NA
Zebrafish;13-03-2023;H9;3;H;0.0057;0.002903844;NA;NA;;0.0021822;27.74897905;NA
Zebrafish;13-03-2023;H10;3;H;0.0063;0.002634352;NA;NA;;0.0021822;27.75202795;NA
Zebrafish;13-03-2023;H11;3;H;0.0015;0.000293701;NA;NA;;0.0021822;27.75024159;NA
Zebrafish;13-03-2023;H12;3;H;0.0029;0.000742843;NA;NA;;0.0021822;27.86936048;NA
Zebrafish;13-03-2023;H13;3;H;0.0276;0.010553839;NA;NA;;0.0021822;27.86487289;NA
Zebrafish;13-03-2023;H14;3;H;0.0016;0.000154548;NA;NA;;0.0021822;27.86506771;NA
Zebrafish;13-03-2023;H15;3;H;0.0115;0.003444304;NA;NA;;0.0021822;27.86128944;NA
Zebrafish;14-03-2023;L16;3;L;0.0058;NA;NA;NA;;0.0021822;27.85143704;NA
Zebrafish;14-03-2023;L17;3;L;0.0118;0.002941423;NA;NA;;0.0021822;27.85160941;NA
Zebrafish;14-03-2023;L18;3;L;0.0118;0.004989521;NA;NA;;0.0021822;27.85399142;NA
Zebrafish;14-03-2023;L19;3;L;0.0123;0.003617084;NA;NA;;0.0021822;27.94184715;NA
Zebrafish;14-03-2023;L20;3;L;0.0041;0.001861295;NA;NA;;0.0021822;27.93968055;NA
Zebrafish;14-03-2023;L21;3;L;0.0104;0.005337254;NA;NA;;0.0021822;27.92824067;NA
Zebrafish;14-03-2023;L22;3;L;0.0064;0.001385707;NA;NA;;0.0021822;27.924;NA
Zebrafish;14-03-2023;L23;3;L;0.0067;0.003456004;NA;NA;;0.0021822;27.82902147;NA
Zebrafish;14-03-2023;L24;3;L;0.0045;0.001326244;NA;NA;;0.0021822;27.8283715;NA
Zebrafish;14-03-2023;L25;3;L;0.0118;0.005194973;NA;NA;;0.0021822;27.82134628;NA
Zebrafish;14-03-2023;L27;3;L;0.0021;0.000617683;NA;NA;;0.0021822;27.82243978;NA
Zebrafish;14-03-2023;L28;3;L;0.0044;NA;NA;NA;;0.0021822;27.96262595;NA
Zebrafish;14-03-2023;L29;3;L;0.0016;NA;NA;NA;;0.0021822;27.94624727;NA
Zebrafish;14-03-2023;L30;3;L;0.0122;0.004417919;NA;NA;;0.0021822;27.94308401;NA
Zebrafish;15-03-2023;M16;3;M;0.0038;0.00191268;NA;NA;;0.0021822;27.74005063;NA
Zebrafish;15-03-2023;M20;3;M;0.0076;0.004471515;NA;NA;;0.0021822;27.73086407;NA
Zebrafish;15-03-2023;M23;3;M;0.0081;0.004572236;NA;NA;;0.0021822;27.74275778;NA
Zebrafish;15-03-2023;M24;3;M;0.0065;0.004403127;NA;NA;;0.0021822;27.80746051;NA
Zebrafish;15-03-2023;M25;3;M;0.0056;0.00378275;NA;NA;;0.0021822;27.80365852;NA
Zebrafish;15-03-2023;M26;3;M;0.0059;0.003860485;NA;NA;;0.0021822;27.81436456;NA
Zebrafish;15-03-2023;M27;3;M;0.0043;0.002112034;NA;NA;;0.0021822;27.80024102;NA
Zebrafish;15-03-2023;M28;3;M;0.0091;0.003340769;NA;NA;;0.0021822;27.69252897;NA
Zebrafish;15-03-2023;M29;3;M;0.0054;0.002783005;NA;NA;;0.0021822;27.69774726;NA
Zebrafish;27-03-2023;H17;3;H;0.0017;0.0006475;NA;NA;;0.0021822;27.71791532;NA
Zebrafish;27-03-2023;H18;3;H;0.0082;0.003453625;NA;NA;;0.0021822;27.71878056;NA
Zebrafish;27-03-2023;H20;3;H;0.0069;0.001967226;NA;NA;;0.0021822;27.72246862;NA
Zebrafish;27-03-2023;H21;3;H;0.0066;0.002347476;NA;NA;;0.0021822;27.78114732;NA
Zebrafish;27-03-2023;H25;3;H;0.0164;0.007642844;NA;NA;;0.0021822;27.77708695;NA
Zebrafish;28-03-2023;L1;4;L;0.0149;0.004724859;NA;NA;;0.0021822;27.70851005;NA
Zebrafish;28-03-2023;L2;4;L;0.0052;0.001787537;NA;NA;;0.0021822;27.70854801;NA
Zebrafish;28-03-2023;L3;4;L;0.008;0.003082852;NA;NA;;0.0021822;27.71015046;NA
Zebrafish;28-03-2023;L7;4;L;0.013;0.00497832;NA;NA;;0.0021822;27.77627412;NA
Zebrafish;28-03-2023;L8;4;L;0.0102;0.00484393;NA;NA;;0.0021822;27.77551513;NA
Zebrafish;28-03-2023;L9;4;L;0.0125;0.007791291;NA;NA;;0.0021822;27.77785256;NA
Zebrafish;28-03-2023;L10;4;L;0.0205;0.008246345;NA;NA;;0.0021822;27.77449126;NA
Zebrafish;28-03-2023;L11;4;L;0.0061;0.002626595;NA;NA;;0.0021822;27.67312465;NA
Zebrafish;28-03-2023;L12;4;L;0.0037;0.001348532;NA;NA;;0.0021822;27.66911981;NA
Zebrafish;28-03-2023;L14;4;L;0.0092;0.004707171;NA;NA;;0.0021822;27.66850922;NA
Zebrafish;28-03-2023;L15;4;L;0.0107;0.003774091;NA;NA;;0.0021822;27.67293267;NA
Zebrafish;29-03-2023;M1;4;M;0.0105;0.005331998;NA;NA;;0.0021822;27.75662243;NA
Zebrafish;29-03-2023;M2;4;M;0.0262;0.011297969;NA;NA;;0.0021822;27.7843941;NA
Zebrafish;29-03-2023;M3;4;M;0.0073;0.000845224;NA;NA;;0.0021822;27.76583;NA
Zebrafish;29-03-2023;M4;4;M;0.0195;0.006494016;NA;NA;;0.0021822;27.81861576;NA
Zebrafish;29-03-2023;M5;4;M;0.0105;0.002309574;NA;NA;;0.0021822;27.82422414;NA
