sci;AphiaID;phylum;class;order;family;genus;species;valid_name;status;code;length;lengthC;length_ref;lifespan;lifespanC;lifespan_ref;fecundity;fecundityC;fecundity_ref;develop;develop_ref;vertical;vertical_ref;ComDepthMin;ComDepthMax;DepthPref;DepthMin;DepthMax;diet;diet_ref;troph;troph_ref;TempPrefMin;TempPrefMax;TempPref;TempPrefMean;pref_ref;freq.r;freq.st
Cubiceps gracilis;126990;Chordata;Teleostei;Scombriformes;Nomeidae;Cubiceps;gracilis;Cubiceps gracilis;accepted;CUBIGRA;107;3;TL_fishbase;6,874;3;Phylosem;167873,4622;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;10;50;1;0;100;planktivorous;fishbase_global;3,4;Fishbase_global_2;8,5;20;1;11,89999962;fishbase;62;0,24
Cyclothone braueri;127284;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Cyclothone;braueri;Cyclothone braueri;accepted;CYCLBRA;5,61;1;TL_fishbase;1,25;1;Fishbase_estim_global;43992,58333;4;Fishbase_estim_global;guarder;Phylosem;pelagic;Fishbase_global;200;900;3;10;2000;planktivorous;fishbase_global;3,08;Fishbase_global_2;3,900000095;16,29999924;1;9,300000191;fishbase;29;0,11
Cyclothone pygmaea;127290;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Cyclothone;pygmaea;Cyclothone pygmaea;accepted;CYCLPIG;4,3;1;Fishbase_LHT;4,29;2;Phylosem;706801,9531;4;Fishbase_estim_med;guarder;Phylosem;pelagic;Fishbase_global;613;893;4;500;1400;planktivorous;Phylosem;3,4;Fishbase_global_2;13,10000038;14;2;13,69999981;fishbase;3;0,01
Dactylopterus volitans;127232;Chordata;Teleostei;Dactylopteriformes;Dactylopteridae;Dactylopterus;volitans;Dactylopterus volitans;accepted;CEPHVOL;40;3;Koutsidi_2023;9,078;3;Phylosem;71476,00372;4;Phylosem;non-guarder;Beukhof_2019_global;benthic;Beukhof_2019_global;11;50;1;1;100;carnivorous;fishbase_global;3,68;Koutsidi_2023;13,30000019;27,79999924;4;23,89999962;fishbase;177;0,68
Dalatias licha;105910;Chordata;Elasmobranchii;Squaliformes;Dalatiidae;Dalatias;licha;Dalatias licha;accepted;SCYMLIC;182;3;Beukhof_2019_med;36;3;Fishbase_estim_global;43992,58333;4;Fishbase_estim_global;bearer;Beukhof_2019_med;demersal;Beukhof_2019_med;300;600;4;37;1800;carnivorous;Coulon_2023;4,23;Beukhof_2019_med;2,5;14,30000019;1;5,300000191;fishbase;639;2,46
Dalophis imberbis;126313;Chordata;Teleostei;Anguilliformes;Ophichthidae;Dalophis;imberbis;Dalophis imberbis;accepted;DALOIMB;150;3;TL_fishbase;15,138;3;Phylosem;462136,135;4;Phylosem;non-guarder;Phylosem;demersal;Fishbase_global;26;51;1;20;80;carnivorous;Phylosem;4,02;Fishbase_global_2;13,30000019;19,89999962;2;16,70000076;fishbase;131;0,51
Dasyatis centroura;NA;Chordata;Elasmobranchii;Myliobatiformes;Dasyatidae;Dasyatis;centroura;NA;NA;DASICEN;144;3;Beukhof_2019_med;16,50001777;3;Phylosem;706801,9531;4;Fishbase_estim_med;bearer;Beukhof_2019_med;demersal;Beukhof_2019_med;NA;NA;NA;NA;NA;generalist;Phylosem;3,81;Beukhof_2019_med;NA;NA;NA;14,81675447;Phylosem;21;0,08
Dasyatis pastinaca;105851;Chordata;Elasmobranchii;Myliobatiformes;Dasyatidae;Dasyatis;pastinaca;Dasyatis pastinaca;accepted;DASIPAS;250;3;Koutsidi_2023;16;3;Koutsidi_2023;5,5;1;Koutsidi_2023;bearer;Beukhof_2019_med;demersal;Beukhof_2019_med;20;35;1;5;200;carnivorous;Coulon_2023;4,05;Koutsidi_2023;9,699999809;26,10000038;1;12,19999981;fishbase;638;2,46
Dasyatis tortonesei;105852;Chordata;Elasmobranchii;Myliobatiformes;Dasyatidae;Dasyatis;tortonesei;Dasyatis tortonesei;accepted;DASITOR;80;3;WD_fishbase;11,022;3;Phylosem;43992,58333;4;Fishbase_estim_global;bearer;Fishbase_global;demersal;Fishbase_global;110;150;1;100;200;generalist;Coulon_2023;4,02;Fishbase_global_2;13,30000019;16,10000038;2;14,89999962;fishbase;40;0,15
Deltentosteus collonianus;126879;Chordata;Teleostei;Gobiiformes;Gobiidae;Deltentosteus;collonianus;Deltentosteus collonianus;accepted;GOBICOL;7;1;TL_fishbase;4,876;2;Phylosem;12140,57225;4;Phylosem;guarder;Phylosem;demersal;Fishbase_global;NA;NA;NA;NA;NA;carnivorous;Phylosem;3,55;Fishbase_global_2;NA;NA;NA;14,84428019;Phylosem;117;0,45
Deltentosteus quadrimaculatus;126880;Chordata;Teleostei;Gobiiformes;Gobiidae;Deltentosteus;quadrimaculatus;Deltentosteus quadrimaculatus;accepted;GOBIQUA;10,3;2;TL_fishbase;5;2;Fishbase_med;4513;4;Coulon_2022_global;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;47;160;1;10;333;carnivorous;Coulon_2023;3,1;Fishbase_global_1;13,30000019;18,20000076;2;15,19999981;fishbase;3349;12,91
Dentex dentex;273962;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Dentex;dentex;Dentex dentex;accepted;DENTDEN;110;3;Koutsidi_2023;28;3;Koutsidi_2023;409000;4;Koutsidi_2023;non-guarder;Fishbase_global;benthopelagic;Fishbase_global;15;50;1;0;200;generalist;Coulon_2023;4,5;Koutsidi_2023;13,30000019;21,10000038;2;18,10000038;fishbase;114;0,44
Dentex gibbosus;273964;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Dentex;gibbosus;Dentex gibbosus;accepted;DENTGIB;75;3;Koutsidi_2023;18;3;Koutsidi_2023;1672734;4;Koutsidi_2023;non-guarder;Fishbase_global;benthopelagic;Fishbase_global;42;115;1;20;220;generalist;Coulon_2023;4,14;Koutsidi_2023;13;19,29999924;2;15,5;fishbase;60;0,23
Dentex macrophthalmus;273965;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Dentex;macrophthalmus;Dentex macrophthalmus;accepted;DENTMAC;65;3;Koutsidi_2023;38;3;Koutsidi_2023;142500;4;Koutsidi_2023;non-guarder;Fishbase_global;benthopelagic;Fishbase_global;85;243;1;30;500;generalist;fishbase_global;3,45;Koutsidi_2023;13;16,79999924;2;14,89999962;fishbase;571;2,2
Dentex maroccanus;273966;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Dentex;maroccanus;Dentex maroccanus;accepted;DENTMAR;27,1;2;Koutsidi_2023;8;3;Koutsidi_2023;213500;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;76;237;1;20;500;carnivorous;Coulon_2023;3,81;Koutsidi_2023;10;16,79999924;2;13,5;fishbase;452;1,74
Diaphus holti;126592;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;holti;Diaphus holti;accepted;DIAPHOL;8,54;1;TL_fishbase;2,139;2;Phylosem;10748,82963;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;130;366;2;40;777;planktivorous;Phylosem;3,1;Fishbase_scrapping_global;10,19999981;16,5;2;14,10000038;fishbase;308;1,19
Diaphus metopoclampus;126594;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;metopoclampus;Diaphus metopoclampus;accepted;DIAPMET;9,6;1;TL_fishbase;2,139;2;Phylosem;11298,71879;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;216;522;3;90;1085;planktivorous;Phylosem;3,25;Fishbase_global_2;1,799999952;17;1;10,80000019;fishbase;884;3,41
Diaphus rafinesquii;126596;Chordata;Teleostei;Myctophiformes;Myctophidae;Diaphus;rafinesquii;Diaphus rafinesquii;accepted;DIAPRAF;9,4;1;TL_fishbase;2,139;2;Phylosem;11298,13876;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;331;926;4;40;2173;planktivorous;Phylosem;3,4;Fishbase_global_2;5,199999809;14,19999981;1;10,80000019;fishbase;555;2,14
Dicentrarchus labrax;126975;Chordata;Teleostei;Eupercaria incertae sedis;Moronidae;Dicentrarchus;labrax;Dicentrarchus labrax;accepted;DICELAB;106;3;Koutsidi_2023;15;3;Koutsidi_2023;550000;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;19;55;1;10;100;generalist;Coulon_2023;3,47;Koutsidi_2023;7,300000191;19,5;1;10,69999981;fishbase;77;0,3
Dicologlossa cuneata;127154;Chordata;Teleostei;Pleuronectiformes;Soleidae;Dicologlossa;cuneata;Dicologlossa cuneata;accepted;DICOCUN;36,6;3;TL_fishbase;12,664;3;Phylosem;160000;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;10;150;1;10;460;carnivorous;Coulon_2023;3,32;Fishbase_global_2;12,5;27,60000038;3;18,20000076;fishbase;8;0,03
Dicologlossa hexophthalma;274298;Chordata;Teleostei;Pleuronectiformes;Soleidae;Dicologlossa;hexophthalma;Dicologlossa hexophthalma;accepted;DICOHEX;20;2;TL_fishbase;13,725;3;Phylosem;338916,8518;4;Phylosem;non-guarder;Fishbase_global;demersal;Fishbase_global;17;73;1;1;150;carnivorous;Phylosem;3,4;Fishbase_scrapping_global;18,29999924;27,89999962;4;25,70000076;fishbase;1;0
Diplodus annularis;127049;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Diplodus;annularis;Diplodus annularis;accepted;DIPLANN;25,3;2;Koutsidi_2023;13;3;Koutsidi_2023;115000;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;benthopelagic;Beukhof_2019_med;9;45;1;0;90;carnivorous;Coulon_2023;3,46;Koutsidi_2023;14,80000019;21,10000038;2;18,29999924;fishbase;2447;9,44
Diplodus puntazzo;127052;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Diplodus;puntazzo;Diplodus puntazzo;accepted;DIPLPUN;60;3;Koutsidi_2023;18;3;Koutsidi_2023;8,00E+05;4;Koutsidi_2023;non-guarder;Coulon_2022_global;benthopelagic;Fishbase_global;0;60;1;0;150;carnivorous;Coulon_2023;3,22;Koutsidi_2023;16;21,60000038;2;19,10000038;fishbase;48;0,19
Diplodus vulgaris;127054;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Diplodus;vulgaris;Diplodus vulgaris;accepted;DIPLVUL;56,2;3;Koutsidi_2023;14;3;Koutsidi_2023;19600;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;benthopelagic;Beukhof_2019_med;0;30;1;0;160;carnivorous;Coulon_2023;3,52;Koutsidi_2023;15,89999962;21,60000038;2;18,79999924;fishbase;837;3,23
Dipturus batis;105869;Chordata;Elasmobranchii;Rajiformes;Rajidae;Dipturus;batis;Dipturus batis;accepted;RAJABAT;285;3;TL_fishbase;51;3;Fishbase_global;43992,58333;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;100;200;1;100;1000;carnivorous;Coulon_2023;3,52;Fishbase_global_1;7,099999905;15;1;9,800000191;fishbase;8;0,03
Dipturus nidarosiensis;105871;Chordata;Elasmobranchii;Rajiformes;Rajidae;Dipturus;nidarosiensis;Dipturus nidarosiensis;accepted;RAJANID;200;3;TL_fishbase;21,047;3;Phylosem;40;2;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;293;679;4;125;1420;carnivorous;Coulon_2023;3,5;Fishbase_global_2;2,099999905;10,80000019;1;7,099999905;fishbase;14;0,05
Dipturus oxyrinchus;105872;Chordata;Elasmobranchii;Rajiformes;Rajidae;Dipturus;oxyrinchus;Dipturus oxyrinchus;accepted;RAJAOXY;150;3;Beukhof_2019_med;14,79;3;Phylosem;40;2;Coulon_2022_global;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;219;200;1;70;1230;carnivorous;Coulon_2023;3,5;Beukhof_2019_med;5,400000095;14,39999962;1;10,19999981;fishbase;1858;7,16
Dussumieria elopsoides;212259;Chordata;Teleostei;Clupeiformes;Dussumieriidae;Dussumieria;elopsoides;Dussumieria elopsoides;accepted;DUSSELO;24,4;2;TL_fishbase;4,71;2;Phylosem;79585,81778;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;5;26;1;0;50;planktivorous;fishbase_global;3,4;Fishbase_global_2;25,39999962;29,10000038;4;28,29999924;fishbase;24;0,09
Dysomma brevirostre;126321;Chordata;Teleostei;Anguilliformes;Synaphobranchidae;Dysomma;brevirostre;Dysomma brevirostre;accepted;NETOBRE;30;2;TL_fishbase;14,965;3;Phylosem;163910,0616;4;Phylosem;non-guarder;Phylosem;benthopelagic;Fishbase_global;299;552;4;200;1000;carnivorous;Phylosem;3,8;Fishbase_scrapping_global;7,699999809;15,30000019;1;11,5;fishbase;10;0,04
Echelus myrus;126314;Chordata;Teleostei;Anguilliformes;Ophichthidae;Echelus;myrus;Echelus myrus;accepted;ECHEMIR;100;3;TL_fishbase;15,138;3;Phylosem;409273,3989;4;Phylosem;non-guarder;Phylosem;demersal;Fishbase_global;68;249;1;3;550;generalist;Phylosem;4,3;Fishbase_scrapping_global;12,60000038;17,20000076;2;14,80000019;fishbase;1382;5,33
Echiichthys vipera;150630;Chordata;Teleostei;Perciformes;Trachinidae;Echiichthys;vipera;Echiichthys vipera;accepted;ECHTVIP;27,7;2;TL_fishbase;12,981;3;Phylosem;160000;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;5;26;1;0;50;carnivorous;Coulon_2023;4,41;Fishbase_global_1;7,300000191;16,10000038;1;10,5;fishbase;1;0
Echiodon dentatus;126662;Chordata;Teleostei;Ophidiiformes;Carapidae;Echiodon;dentatus;Echiodon dentatus;accepted;ECHIDEN;17;2;TL_fishbase;11,931;3;Phylosem;141621,3191;4;Phylosem;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;563;1391;4;120;3250;carnivorous;Phylosem;3,6;Fishbase_scrapping_global;6,800000191;13,89999962;2;13,5;fishbase;59;0,23
Electrona risso;126600;Chordata;Teleostei;Myctophiformes;Myctophidae;Electrona;risso;Electrona risso;accepted;ELECRIS;10,25;2;TL_fishbase;1,5;1;Fishbase_global;11652,24092;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;272;684;4;90;1485;planktivorous;Phylosem;3,4;Fishbase_global_2;5,400000095;14,89999962;1;10,10000038;fishbase;123;0,47
Engraulis encrasicolus;126426;Chordata;Teleostei;Clupeiformes;Engraulidae;Engraulis;encrasicolus;Engraulis encrasicolus;accepted;ENGRENC;24,6;2;Koutsidi_2023;5;2;Koutsidi_2023;230000;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;pelagic;Beukhof_2019_med;46;183;1;0;400;planktivorous;Coulon_2023;3,11;Koutsidi_2023;7,099999905;18;1;10,80000019;fishbase;8450;32,59
Epigonus constanciae;126856;Chordata;Teleostei;Acropomatiformes;Epigonidae;Epigonus;constanciae;Epigonus constanciae;accepted;EPIGCON;24,03;2;TL_fishbase;32,707;3;Phylosem;158102,0765;4;Phylosem;non-guarder;Phylosem;demersal;Fishbase_global;200;400;2;160;742;generalist;Phylosem;3,5;Fishbase_scrapping_global;8,800000191;14,60000038;2;13,30000019;fishbase;391;1,51
Epigonus denticulatus;126857;Chordata;Teleostei;Acropomatiformes;Epigonidae;Epigonus;denticulatus;Epigonus denticulatus;accepted;EPIGDEN;20;2;TL_fishbase;32,707;3;Phylosem;153794,0668;4;Phylosem;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;300;600;4;130;830;generalist;Coulon_2023;3,42;Fishbase_global_2;6,900000095;14,69999981;1;11,30000019;fishbase;2226;8,58
Epigonus telescopus;126858;Chordata;Teleostei;Acropomatiformes;Epigonidae;Epigonus;telescopus;Epigonus telescopus;accepted;EPIGTEL;75;3;TL_fishbase;104;3;Fishbase_global;258523,0152;4;Phylosem;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;300;800;4;75;1200;generalist;Coulon_2023;3,59;Fishbase_global_1;4,599999905;13,80000019;1;8,899999619;fishbase;946;3,65
Epinephelus aeneus;127032;Chordata;Teleostei;Perciformes;Serranidae;Epinephelus;aeneus;Epinephelus aeneus;accepted;EPINAEN;136;3;Koutsidi_2023;17;3;Koutsidi_2023;2331353,5;4;Koutsidi_2023;non-guarder;Fishbase_global;demersal;Fishbase_global;39;106;1;20;200;generalist;fishbase_global;4,02;Koutsidi_2023;14,80000019;20,20000076;2;17,10000038;fishbase;114;0,44
Epinephelus costae;127034;Chordata;Teleostei;Perciformes;Serranidae;Epinephelus;costae;Epinephelus costae;accepted;EPINALE;170,8;3;TL_fishbase;22,137;3;Phylosem;792517,9116;4;Phylosem;non-guarder;Fishbase_global;demersal;Fishbase_global;4;160;1;1;200;carnivorous;fishbase_global;3,87;Fishbase_global_2;13,39999962;27,5;3;19;fishbase;6;0,02
