sci;AphiaID;phylum;class;order;family;genus;species;valid_name;status;code;length;lengthC;length_ref;lifespan;lifespanC;lifespan_ref;fecundity;fecundityC;fecundity_ref;develop;develop_ref;vertical;vertical_ref;ComDepthMin;ComDepthMax;DepthPref;DepthMin;DepthMax;diet;diet_ref;troph;troph_ref;TempPrefMin;TempPrefMax;TempPref;TempPrefMean;pref_ref;freq.r;freq.st
Liza ramada;NA;Chordata;Teleostei;Mugiliformes;Mugilidae;Liza;ramada;NA;NA;LIZARAM;50,66666667;3;Fishbase_estim_global;4;2;Fishbase_estim_global;442668,375;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;11;16;1;10;20;generalist;fishbase_global;2,58;Koutsidi_2023;9,699999809;20,10000038;1;11,80000019;fishbase;66;0,25
Liza saliens;NA;Chordata;Teleostei;Mugiliformes;Mugilidae;Liza;saliens;NA;NA;LIZASAL;30,5;3;Fishbase_estim_global;4;2;Fishbase_estim_global;1073861,5;4;Fishbase_estim_global;non-guarder;Fishbase_global;demersal;Fishbase_global;14;31;1;10;50;generalist;fishbase_global;2,94;Koutsidi_2023;14,39999962;21,5;2;18,39999962;fishbase;5;0,02
Lobianchia dofleini;158900;Chordata;Teleostei;Myctophiformes;Myctophidae;Lobianchia;dofleini;Lobianchia dofleini;accepted;LOBIDOF;6;1;TL_fishbase;1;1;Fishbase_global;8899,384548;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;580;1601;4;0;4000;planktivorous;fishbase_global;3,02;Fishbase_global_2;2,5;13,10000038;1;4,400000095;fishbase;634;2,44
Lobianchia gemellarii;158901;Chordata;Teleostei;Myctophiformes;Myctophidae;Lobianchia;gemellarii;Lobianchia gemellarii;accepted;LOBIGEM;7,32;1;TL_fishbase;2,485;2;Phylosem;10432,9007;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;121;366;2;25;800;planktivorous;Phylosem;3;Fishbase_global_2;7,199999809;21,5;3;13,69999981;fishbase;55;0,21
Lophius budegassa;126554;Chordata;Teleostei;Lophiiformes;Lophiidae;Lophius;budegassa;Lophius budegassa;accepted;LOPHBUD;93;3;Koutsidi_2023;21;3;Koutsidi_2023;243277,5;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;100;500;3;70;1013;carnivorous;Coulon_2023;4,41;Koutsidi_2023;9;13,5;1;11,10000038;fishbase;10366;39,97
Lophius piscatorius;126555;Chordata;Teleostei;Lophiiformes;Lophiidae;Lophius;piscatorius;Lophius piscatorius;accepted;LOPHPIS;140;3;Beukhof_2019_estim_med;8;3;Fishbase_estim_med;706801,9531;4;Fishbase_estim_med;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;144;446;3;20;1000;carnivorous;Coulon_2023;4,45;Beukhof_2019_estim_med;3,799999952;14,19999981;1;7,699999809;fishbase;3356;12,94
Macroramphosus scolopax;127378;Chordata;Teleostei;Syngnathiformes;Centriscidae;Macroramphosus;scolopax;Macroramphosus scolopax;accepted;MACOSCO;22,8;2;Koutsidi_2023;6;3;Koutsidi_2023;13344,96119;4;Phylosem;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;50;350;2;25;600;carnivorous;Coulon_2023;3,47;Koutsidi_2023;6,5;22,70000076;3;13,60000038;fishbase;6736;25,98
Maurolicus muelleri;127312;Chordata;Teleostei;Stomiiformes;Sternoptychidae;Maurolicus;muelleri;Maurolicus muelleri;accepted;MAURMUE;8;1;TL_fishbase;1,25;1;Fishbase_global;38067,67391;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;300;400;4;271;1524;planktivorous;Coulon_2023;3,01;Fishbase_global_1;3,200000048;13,30000019;1;7,099999905;fishbase;1308;5,04
Melanostigma atlanticum;127120;Chordata;Teleostei;Perciformes;Zoarcidae;Melanostigma;atlanticum;Melanostigma atlanticum;accepted;MELAATL;15;2;TL_fishbase;14,114;3;Phylosem;41679,44737;4;Fishbase_estim_global;guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;591;1017;4;400;1853;generalist;Coulon_2023;3;Fishbase_global_1;3,299999952;10,60000038;1;5,800000191;fishbase;32;0,12
Merlangius merlangus;126438;Chordata;Teleostei;Gadiformes;Gadidae;Merlangius;merlangus;Merlangius merlangus;accepted;GADUMER;91,5;3;TL_fishbase;13;3;Fishbase_med;43992,58333;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;30;100;1;10;200;generalist;Coulon_2023;4,36;Fishbase_global_1;7;11,89999962;1;9,199999809;fishbase;1871;7,22
Merluccius merluccius;126484;Chordata;Teleostei;Gadiformes;Merlucciidae;Merluccius;merluccius;Merluccius merluccius;accepted;MERLMER;140;3;Koutsidi_2023;20;3;Koutsidi_2023;272500;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;70;400;3;30;1075;generalist;Coulon_2023;4,38;Koutsidi_2023;6,900000095;15,39999962;1;10,19999981;fishbase;20091;77,48
Microchirus azevia;274299;Chordata;Teleostei;Pleuronectiformes;Soleidae;Microchirus;azevia;Microchirus azevia;accepted;MICUAZE;48,8;3;TL_fishbase;17,206;3;Phylosem;20134788,78;4;Phylosem;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;45;129;1;20;250;carnivorous;fishbase_global;3,18;Fishbase_global_2;9,800000191;18,10000038;2;13,80000019;fishbase;1;0
Microchirus boscanion;274300;Chordata;Teleostei;Pleuronectiformes;Soleidae;Microchirus;boscanion;Microchirus boscanion;accepted;MICUBOS;20;2;TL_fishbase;15,736;3;Phylosem;5,00E+07;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;10;100;1;10;460;carnivorous;Coulon_2023;3,2;Fishbase_scrapping_global;16,60000038;27,89999962;4;20,39999962;fishbase;84;0,32
Microchirus ocellatus;274302;Chordata;Teleostei;Pleuronectiformes;Soleidae;Microchirus;ocellatus;Microchirus ocellatus;accepted;MICUOCE;21;2;TL_fishbase;15,736;3;Phylosem;5,00E+07;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;60;156;1;30;300;carnivorous;Coulon_2023;3,2;Fishbase_scrapping_global;13,80000019;24,89999962;3;17,10000038;fishbase;249;0,96
Microchirus variegatus;274304;Chordata;Teleostei;Pleuronectiformes;Soleidae;Microchirus;variegatus;Microchirus variegatus;accepted;MICUVAR;18;2;Koutsidi_2023;14;3;Koutsidi_2023;5,00E+07;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;64;194;1;20;400;carnivorous;Coulon_2023;3,28;Koutsidi_2023;7;16;1;10,30000019;fishbase;1236;4,77
Microichthys coccoi;126859;Chordata;Teleostei;Acropomatiformes;Epigonidae;Microichthys;coccoi;Microichthys coccoi;accepted;MICICOC;3;1;TL_fishbase;23,171;3;Phylosem;65391,0279;4;Phylosem;guarder;Phylosem;demersal;Fishbase_global;192;330;2;145;549;planktivorous;Phylosem;3,1;Fishbase_scrapping_global;13,61499977;14,06499958;2;13,84000015;fishbase;166;0,64
Microlipophrys adriaticus;712838;Chordata;Teleostei;Blenniiformes;Blenniidae;Microlipophrys;adriaticus;Microlipophrys adriaticus;accepted;LIPOADR;5;1;TL_fishbase;8,255;3;Phylosem;1401,864334;4;Phylosem;guarder;Fishbase_global;demersal;Fishbase_global;0;3;1;0;5;generalist;fishbase_global;3,36;Fishbase_global_1;17,60000038;19,89999962;2;18,70000076;fishbase;1;0
Micromesistius poutassou;126439;Chordata;Teleostei;Gadiformes;Gadidae;Micromesistius;poutassou;Micromesistius poutassou;accepted;MICMPOU;48,4;3;Koutsidi_2023;20;3;Koutsidi_2023;78000;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;pelagic;Beukhof_2019_med;300;400;4;150;3000;generalist;Coulon_2023;4,13;Koutsidi_2023;3,099999905;13,89999962;1;7;fishbase;5672;21,87
Mola mola;127405;Chordata;Teleostei;Tetraodontiformes;Molidae;Mola;mola;Mola mola;accepted;MOLAMOL;333;3;TL_fishbase;18,584;3;Phylosem;43992,58333;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;30;70;1;30;480;generalist;Coulon_2023;3,28;Fishbase_global_2;5,300000191;20,5;1;10,19999981;fishbase;24;0,09
Molva dypterygia;126459;Chordata;Teleostei;Gadiformes;Lotidae;Molva;dypterygia;Molva dypterygia;accepted;MOLVDYP;155;3;TL_fishbase;18,5;3;Fishbase_estim_global;703839;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;350;500;4;150;1000;generalist;Coulon_2023;4,49;Fishbase_global_1;2,099999905;14,10000038;1;6,300000191;fishbase;2157;8,32
Molva macrophthalma;126460;Chordata;Teleostei;Gadiformes;Lotidae;Molva;macrophthalma;Molva macrophthalma;accepted;MOLVMAC;108;3;TL_fishbase;21,298;3;Phylosem;2500000;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;200;1000;3;30;1000;generalist;Coulon_2023;4,5;Fishbase_global_1;10;13,30000019;1;11,19999981;fishbase;230;0,89
Molva molva;126461;Chordata;Teleostei;Gadiformes;Lotidae;Molva;molva;Molva molva;accepted;MOLVMOL;200;3;TL_fishbase;12;3;Fishbase_estim_global;706801,9531;4;Fishbase_estim_med;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;100;400;2;100;1000;generalist;Coulon_2023;4,4;Fishbase_global_1;4,599999905;11,30000019;1;7,699999809;fishbase;59;0,23
Monochirus hispidus;127155;Chordata;Teleostei;Pleuronectiformes;Soleidae;Monochirus;hispidus;Monochirus hispidus;accepted;MONOHIS;22;2;TL_fishbase;8,746;3;Phylosem;113750;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;19;55;1;10;100;carnivorous;Coulon_2023;3,5;Fishbase_scrapping_global;13,30000019;19,39999962;2;15,69999981;fishbase;392;1,51
Mora moro;126497;Chordata;Teleostei;Gadiformes;Moridae;Mora;moro;Mora moro;accepted;MORAMOR;80;3;TL_fishbase;38;3;Fishbase_estim_global;6,00E+07;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;728;1303;4;450;2500;carnivorous;Coulon_2023;3,75;Fishbase_global_2;3,200000048;8,899999619;1;5;fishbase;1195;4,61
Mugil cephalus;126983;Chordata;Teleostei;Mugiliformes;Mugilidae;Mugil;cephalus;Mugil cephalus;accepted;MUGICEP;105;3;Koutsidi_2023;16;3;Koutsidi_2023;3200000;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;0;10;1;0;120;generalist;Coulon_2023;2,48;Koutsidi_2023;11,30000019;27,89999962;4;23,20000076;fishbase;43;0,17
Mullus barbatus;126985;Chordata;Teleostei;Mulliformes;Mullidae;Mullus;barbatus;Mullus barbatus;accepted;MULLBAR;34,5;3;Koutsidi_2023;11;3;Koutsidi_2023;12090;4;Koutsidi_2023;non-guarder;Fishbase_global;demersal;Fishbase_global;100;300;2;10;328;carnivorous;fishbase_global;3,14;Koutsidi_2023;13,10000038;15,89999962;2;14,19999981;fishbase;12175;46,95
Mullus surmuletus;126986;Chordata;Teleostei;Mulliformes;Mullidae;Mullus;surmuletus;Mullus surmuletus;accepted;MULLSUR;41,3;3;Koutsidi_2023;11;3;Koutsidi_2023;12090;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;52;190;1;5;409;carnivorous;Coulon_2023;3,52;Koutsidi_2023;7;16,10000038;1;10,19999981;fishbase;6105;23,54
Muraena helena;126303;Chordata;Teleostei;Anguilliformes;Muraenidae;Muraena;helena;Muraena helena;accepted;MURAHEL;162,7;3;Koutsidi_2023;38;3;Koutsidi_2023;60000;4;Koutsidi_2023;non-guarder;Fishbase_global;pelagic;Phylosem;100;300;2;1;801;carnivorous;fishbase_global;4,18;Koutsidi_2023;13,10000038;16,20000076;2;14,39999962;fishbase;64;0,25
Mustelus asterias;105821;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Mustelus;asterias;Mustelus asterias;accepted;MUSTAST;117,3;3;Koutsidi_2023;25;3;Koutsidi_2023;11;2;Koutsidi_2023;bearer;Beukhof_2019_global;demersal;Beukhof_2019_global;40;161;1;0;350;carnivorous;Coulon_2023;3,62;Koutsidi_2023;7;16,20000076;1;10,10000038;fishbase;96;0,37
Mustelus mustelus;105822;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Mustelus;mustelus;Mustelus mustelus;accepted;MUSTMUS;200;3;Fishbase_global;25;3;Koutsidi_2023;9,5;1;Koutsidi_2023;bearer;Beukhof_2019_global;demersal;Beukhof_2019_global;5;50;1;5;624;generalist;Coulon_2023;3,75;Koutsidi_2023;9,800000191;27,29999924;3;15,30000019;fishbase;603;2,33
Mustelus punctulatus;105823;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Mustelus;punctulatus;Mustelus punctulatus;accepted;MUSTMED;190;3;TL_fishbase;16,787;3;Phylosem;40,19963539;2;Phylosem;bearer;Fishbase_global;demersal;Fishbase_global;10;41;1;2;80;generalist;fishbase_global;3,82;Fishbase_global_1;15,30000019;21,60000038;2;18,79999924;fishbase;176;0,68
Myctophum punctatum;126627;Chordata;Teleostei;Myctophiformes;Myctophidae;Myctophum;punctatum;Myctophum punctatum;accepted;MYCOPUN;13,42;2;TL_fishbase;5,504;3;Phylosem;43992,58333;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;126;434;3;0;1000;planktivorous;Coulon_2023;3,390000105;Fishbase_global_2;3,400000095;14,60000038;1;7,900000095;fishbase;1019;3,93
Myliobatis aquila;105860;Chordata;Elasmobranchii;Myliobatiformes;Myliobatidae;Myliobatis;aquila;Myliobatis aquila;accepted;MYLIAQU;260;3;Koutsidi_2023;23;3;Koutsidi_2023;5;1;Koutsidi_2023;bearer;Beukhof_2019_med;demersal;Beukhof_2019_med;35;140;1;1;300;generalist;Coulon_2023;3,61;Koutsidi_2023;11,69999981;19,79999924;2;15,19999981;fishbase;418;1,61
Nansenia oblita;126728;Chordata;Teleostei;Argentiniformes;Microstomatidae;Nansenia;oblita;Nansenia oblita;accepted;NANSOBI;21,96;2;TL_fishbase;8,639;3;Phylosem;39018,53822;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;322;395;4;300;500;carnivorous;Phylosem;3,21;Fishbase_global_2;10,39999962;14,19999981;2;13,5;fishbase;11;0,04
Naucrates ductor;126811;Chordata;Teleostei;Carangiformes;Carangidae;Naucrates;ductor;Naucrates ductor;accepted;NAUCDUC;70;3;TL_fishbase;2,664;2;Phylosem;793500;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;benthic;Beukhof_2019_global;34;140;1;0;300;planktivorous;Coulon_2023;3,41;Fishbase_global_2;7,900000095;28,10000038;4;20,89999962;fishbase;2;0,01
Nemichthys scolopaceus;126306;Chordata;Teleostei;Anguilliformes;Nemichthyidae;Nemichthys;scolopaceus;Nemichthys scolopaceus;accepted;NEMISCO;130;3;TL_fishbase;12,555;3;Phylosem;250986,8021;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;100;1000;3;100;4337;planktivorous;Coulon_2023;3,5;Fishbase_global_1;4,300000191;21,10000038;1;10,19999981;fishbase;342;1,32
Nerophis maculatus;127384;Chordata;Teleostei;Syngnathiformes;Syngnathidae;Nerophis;maculatus;Nerophis maculatus;accepted;NEROMAC;30;2;TL_fishbase;4,048;2;Phylosem;4960,544894;4;Phylosem;bearer;Fishbase_global;demersal;Fishbase_global;2;11;1;0;20;generalist;Phylosem;3,4;Fishbase_global_2;15,60000038;20,29999924;2;18,79999924;fishbase;1;0
Nettastoma melanurum;NA;Chordata;Teleostei;Anguilliformes;Nettastomatidae;Nettastoma;melanurum;NA;NA;NETTMEL;76,30000305;3;Fishbase_estim_global;19,91411417;3;Phylosem;13443,5;4;Fishbase_estim_global;non-guarder;Fishbase_global;pelagic;Fishbase_global;329;860;4;37;1647;generalist;fishbase_global;3,5;Fishbase_global_2;5,400000095;14,39999962;1;10,19999981;fishbase;2536;9,78
Nezumia aequalis;126473;Chordata;Teleostei;Gadiformes;Macrouridae;Nezumia;aequalis;Nezumia aequalis;accepted;NEZUAEQ;36;3;TL_fishbase;28,127;3;Phylosem;29976;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;200;1000;3;200;2320;generalist;Coulon_2023;3,26;Fishbase_global_1;4,699999809;15,69999981;1;9,300000191;fishbase;973;3,75
Nezumia sclerorhynchus;126475;Chordata;Teleostei;Gadiformes;Macrouridae;Nezumia;sclerorhynchus;Nezumia sclerorhynchus;accepted;NEZUSCL;36;3;TL_fishbase;9;3;Fishbase_med;31226,33333;4;Coulon_2022_global;non-guarder;Coulon_2022_global;pelagic;Fishbase_global;450;730;4;130;3200;generalist;Coulon_2023;3,18;Fishbase_global_2;6,300000191;14;1;12,30000019;fishbase;3878;14,95
Notacanthus bonaparte;126642;Chordata;Teleostei;Notacanthiformes;Notacanthidae;Notacanthus;bonaparte;Notacanthus bonaparte;accepted;NOTABON;26;2;TL_fishbase;11,368;3;Phylosem;30000;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;686;1128;4;487;2000;carnivorous;Coulon_2023;3,93;Fishbase_global_1;7,699999809;13,60000038;1;12,89999962;fishbase;1841;7,1
Notoscopelus bolini;158913;Chordata;Teleostei;Myctophiformes;Myctophidae;Notoscopelus;bolini;Notoscopelus bolini;accepted;NOTSBOL;12,44;2;TL_fishbase;5,382;3;Phylosem;13997,93063;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;45;50;1;0;1300;planktivorous;Phylosem;3,1;Fishbase_scrapping_global;12,39999962;18,20000076;2;14,30000019;fishbase;45;0,17
Notoscopelus elongatus;158915;Chordata;Teleostei;Myctophiformes;Myctophidae;Notoscopelus;elongatus;Notoscopelus elongatus;accepted;NOTSELO;17,32;2;TL_fishbase;5,236;3;Phylosem;15570,39555;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;165;460;2;45;1000;planktivorous;Phylosem;3,4;Fishbase_global_2;13,10000038;14,30000019;2;13,60000038;fishbase;1133;4,37
Oblada melanura;NA;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Oblada;melanura;NA;NA;OBLAMEL;33,1;3;Koutsidi_2023;12,4;3;Koutsidi_2023;409000;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;4;16;1;1;30;planktivorous;fishbase_global;3,38;Koutsidi_2023;17,79999924;27,70000076;2;19,60000038;fishbase;15;0,06
Odondebuenia balearica;126920;Chordata;Teleostei;Gobiiformes;Gobiidae;Odondebuenia;balearica;Odondebuenia balearica;accepted;ODODBAL;3,2;1;TL_fishbase;4,876;2;Phylosem;27056,67264;4;Phylosem;guarder;Phylosem;demersal;Fishbase_global;25;46;1;20;70;planktivorous;Phylosem;3,1;Fishbase_scrapping_global;14;19,60000038;2;16,29999924;fishbase;3;0,01
Oedalechilus labeo;126984;Chordata;Teleostei;Mugiliformes;Mugilidae;Oedalechilus;labeo;Oedalechilus labeo;accepted;OEDALAB;25;2;Koutsidi_2023;10;3;Koutsidi_2023;2873016,8;4;Koutsidi_2023;non-guarder;Fishbase_global;demersal;Fishbase_global;6;26;1;1;50;generalist;Phylosem;2,5;Koutsidi_2023;16,39999962;21,60000038;2;19,29999924;fishbase;1;0
Ophichthus rufus;126316;Chordata;Teleostei;Anguilliformes;Ophichthidae;Ophichthus;rufus;Ophichthus rufus;accepted;OPHCRUF;60;3;TL_fishbase;13,477;3;Phylosem;706801,9531;4;Fishbase_estim_med;non-guarder;Fishbase_global;demersal;Fishbase_global;94;111;1;90;130;carnivorous;fishbase_global;4,31;Fishbase_global_1;17,70000076;21,39999962;2;19,20000076;fishbase;642;2,48
Ophidion barbatum;126675;Chordata;Teleostei;Ophidiiformes;Ophidiidae;Ophidion;barbatum;Ophidion barbatum;accepted;OPDIBAR;25,4;2;TL_fishbase;16,189;3;Phylosem;517379;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;235;649;3;51;1456;carnivorous;Coulon_2023;3,57;Fishbase_global_1;11;14,5;2;13,80000019;fishbase;266;1,03
Ophidion rochei;126676;Chordata;Teleostei;Ophidiiformes;Ophidiidae;Ophidion;rochei;Ophidion rochei;accepted;OPDIROC;29,25;2;TL_fishbase;16,189;3;Phylosem;390433,0372;4;Phylosem;non-guarder;Fishbase_global;demersal;Fishbase_global;17;73;1;1;150;carnivorous;Phylosem;3,6;Fishbase_scrapping_global;10,39999962;19,39999962;2;16,5;fishbase;7;0,03
Ophisurus serpens;126317;Chordata;Teleostei;Anguilliformes;Ophichthidae;Ophisurus;serpens;Ophisurus serpens;accepted;OPHISER;200;3;Koutsidi_2023;15,138;3;Phylosem;520969,7494;4;Phylosem;non-guarder;Phylosem;demersal;Fishbase_global;35;140;1;1;300;carnivorous;Phylosem;4,1;Koutsidi_2023;13,39999962;27,39999962;3;19,70000076;fishbase;187;0,72
Oxynotus centrina;105914;Chordata;Elasmobranchii;Squaliformes;Oxynotidae;Oxynotus;centrina;Oxynotus centrina;accepted;OXYNCEN;100;3;Koutsidi_2023;43,006;3;Phylosem;7;1;Koutsidi_2023;bearer;Beukhof_2019_med;demersal;Beukhof_2019_med;130;366;2;40;777;carnivorous;fishbase_global;3,06;Koutsidi_2023;9,5;15,30000019;2;13,30000019;fishbase;195;0,75
Pagellus acarne;127057;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Pagellus;acarne;Pagellus acarne;accepted;PAGEACA;37;3;Koutsidi_2023;13;3;Koutsidi_2023;310500;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;benthopelagic;Beukhof_2019_med;40;100;1;0;500;carnivorous;Coulon_2023;3,41;Koutsidi_2023;12;18,39999962;2;14,80000019;fishbase;4796;18,49
Pagellus bogaraveo;127059;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Pagellus;bogaraveo;Pagellus bogaraveo;accepted;PAGEBOG;40;3;Koutsidi_2023;15;3;Koutsidi_2023;285000;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;benthopelagic;Beukhof_2019_med;150;300;2;150;700;generalist;Coulon_2023;3,4;Koutsidi_2023;6,900000095;14,89999962;1;11,19999981;fishbase;5400;20,82
Pagellus erythrinus;127060;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Pagellus;erythrinus;Pagellus erythrinus;accepted;PAGEERY;50;3;Koutsidi_2023;21;3;Koutsidi_2023;192200;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;benthopelagic;Beukhof_2019_med;20;100;1;0;300;carnivorous;Coulon_2023;3,48;Koutsidi_2023;12,19999981;21;2;17,20000076;fishbase;7509;28,96
Pagrus pagrus;127063;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Pagrus;pagrus;Pagrus pagrus;accepted;SPARPAG;57,2;3;Koutsidi_2023;18;3;Koutsidi_2023;714450;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;benthopelagic;Beukhof_2019_med;10;80;1;0;250;carnivorous;Coulon_2023;3,86;Koutsidi_2023;15,80000019;27,79999924;4;24,10000038;fishbase;1317;5,08
Parablennius gattorugine;126770;Chordata;Teleostei;Blenniiformes;Blenniidae;Parablennius;gattorugine;Parablennius gattorugine;accepted;BLENGAT;30;2;TL_fishbase;6,659;3;Phylosem;500;3;Coulon_2022_global;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;6;18;1;3;32;carnivorous;Coulon_2023;3,59;Fishbase_global_1;9,899999619;19,79999924;2;17,39999962;fishbase;12;0,05
Parablennius incognitus;126771;Chordata;Teleostei;Blenniiformes;Blenniidae;Parablennius;incognitus;Parablennius incognitus;accepted;BLENINC;8;1;TL_fishbase;3,3;2;Fishbase_LHT;673,3380191;3;Phylosem;guarder;Fishbase_global;demersal;Fishbase_global;0;1;1;0;2;generalist;fishbase_global;2,72;Fishbase_global_1;17,10000038;21,20000076;2;18,89999962;fishbase;1;0
Parablennius tentacularis;126777;Chordata;Teleostei;Blenniiformes;Blenniidae;Parablennius;tentacularis;Parablennius tentacularis;accepted;BLENTEN;15;2;TL_fishbase;6,659;3;Phylosem;911,7034783;3;Phylosem;guarder;Fishbase_global;demersal;Fishbase_global;4;10;1;3;15;carnivorous;fishbase_global;3,31;Fishbase_global_1;16,10000038;21,70000076;2;19,20000076;fishbase;52;0,2
Paralepis coregonoides;126361;Chordata;Teleostei;Aulopiformes;Paralepididae;Paralepis;coregonoides;Paralepis coregonoides;accepted;PARLCOR;61;3;TL_fishbase;5,306;3;Phylosem;411521,2565;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;200;600;3;50;1032;generalist;fishbase_global;4,07;Fishbase_global_2;2,200000048;14;1;7,400000095;fishbase;27;0,1
Paraliparis murieli;127229;Chordata;Teleostei;Perciformes;Liparidae;Paraliparis;murieli;Paraliparis murieli;accepted;PARAMUR;12;2;Fishbase_global;8,839;3;Phylosem;135620,4658;4;Phylosem;non-guarder;Phylosem;demersal;Fishbase_global;510;550;4;500;600;carnivorous;Phylosem;3,5;Fishbase_scrapping_global;NA;NA;NA;14,01899402;Phylosem;6;0,02
Parapristipoma octolineatum;126945;Chordata;Teleostei;Eupercaria incertae sedis;Haemulidae;Parapristipoma;octolineatum;Parapristipoma octolineatum;accepted;PAPOOCT;61;3;TL_fishbase;13,857;3;Phylosem;113931,8685;4;Phylosem;non-guarder;Fishbase_global;demersal;Fishbase_global;7;31;1;1;60;carnivorous;fishbase_global;3,55;Fishbase_global_2;17,20000076;26,79999924;4;20,10000038;fishbase;1;0
Pegusa impar;236490;Chordata;Teleostei;Pleuronectiformes;Soleidae;Pegusa;impar;Pegusa impar;accepted;SOLEIMP;35;3;TL_fishbase;12;3;Fishbase_estim_global;7124454,117;4;Phylosem;non-guarder;Fishbase_global;demersal;Fishbase_global;15;52;1;5;100;carnivorous;fishbase_global;3,33;Fishbase_global_1;15,10000038;21,29999924;2;18,79999924;fishbase;33;0,13
Pegusa lascaris;127156;Chordata;Teleostei;Pleuronectiformes;Soleidae;Pegusa;lascaris;Pegusa lascaris;accepted;SOLELAS;48,8;3;TL_fishbase;15;3;Fishbase_estim_global;5,00E+07;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;20;50;1;5;350;carnivorous;Coulon_2023;3,29;Fishbase_global_1;10,60000038;27,60000038;3;18,10000038;fishbase;40;0,15
Peristedion cataphractum;127233;Chordata;Teleostei;Perciformes;Peristediidae;Peristedion;cataphractum;Peristedion cataphractum;accepted;PERICAT;40;3;TL_fishbase;13,411;3;Phylosem;77714,43068;4;Phylosem;non-guarder;Phylosem;demersal;Beukhof_2019_global;149;150;1;50;848;carnivorous;Coulon_2023;3,6;Fishbase_scrapping_global;8;17,39999962;2;13,80000019;fishbase;2976;11,48
Petromyzon marinus;101174;Chordata;Petromyzonti;Petromyzontiformes;Petromyzontidae;Petromyzon;marinus;Petromyzon marinus;accepted;PETOMAR;120;3;TL_fishbase;10;3;Fishbase_estim_global;706801,9531;4;Fishbase_estim_med;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;7,099999905;13,10000038;1;13,10000038;597;carnivorous;Coulon_2023;4,369999886;Fishbase_global_2;1,799999952;7,099999905;1;1,799999952;fishbase;NA;NA
