Lat,Lon,Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
44.100000,13.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,2,10.88
36.100000,22.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,1.05
35.700000,17.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,8.98
43.200000,4.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",FRA,fishing,1,8.48
36.600000,13.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,trawlers,1,14.10
39.100000,23.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,other_purse_seines,13,494.76
38.000000,21.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,other_purse_seines,1,3.15
33.700000,13.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,7.97
39.000000,25.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,trawlers,11,173.73
40.000000,3.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,trawlers,4,249.08
32.900000,14.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",LBY,tuna_purse_seines,1,7.17
36.800000,-2.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,other_purse_seines,19,607.17
37.900000,1.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,1,6.38
32.600000,19.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,0.89
43.300000,15.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,23,478.23
39.400000,3.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,2,9.56
42.900000,14.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,other_purse_seines,2,11.11
36.400000,28.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,fishing,1,2.26
36.500000,35.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,trawlers,11,160.69
40.000000,1.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,drifting_longlines,1,1.08
36.700000,12.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,12,110.75
35.100000,27.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,drifting_longlines,1,0.26
36.300000,26.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,pots_and_traps,1,1.31
36.000000,24.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,3,9.79
37.600000,10.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,4,35.49
40.400000,2.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,set_longlines,1,2.03
36.000000,34.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MAR,other_purse_seines,1,6.83
35.700000,14.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",CYP,trawlers,1,4.81
38.300000,13.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,other_purse_seines,1,4.79
42.400000,28.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",BGR,trawlers,6,47.20
41.800000,3.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,trawlers,16,3032.69
38.700000,25.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,set_longlines,1,0.27
35.600000,21.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,2.00
